Atomic Mass Adjustment data 
"The Ame2016 atomic mass evaluation (I)"   by W.J.Huang, G.Audi, M.Wang, F.G.Kondev, S.Naimi and X.Xu
"The Ame2016 atomic mass evaluation (II)"   by W.J.Huang, G.Audi, M.Wang, F.G.Kondev, S.Naimi and X.Xu

NUM	ELEMENT	N	Z	MASS_EXCESS	ME_unc
1731	Ta	99	73	-51329.977	27.945
1732	W	98	74	-49097.186	27.945
1733	Re	97	75	-41537.106	38.995
1734	Os	96	76	-37243.842	12.782
1735	Ir	95	77	-27379.369	32.402
1736	Pt	94	78	-21106.92	10.377
1737	Au	93	79	-9318.006	56.158
1738	Hg	92	80	-1058.744	150.079
1739	Tm	104	69	-56256.059	4.4
1740	Yb	103	70	-57551.225	0.011
1741	Lu	102	71	-56880.916	1.567
1742	Hf	101	72	-55411.784	27.945
1743	Ta	100	73	-52396.538	27.945
1744	W	99	74	-48727.383	27.945
1745	Re	98	75	-43553.865	27.945
1746	Os	97	76	-37438.257	14.959
1747	Ir	96	77	-30268.435	11.026
1748	Pt	95	78	-21942.911	55.977
1749	Au	94	79	-12832.44	22.784
1750	Tm	105	69	-53864.512	44.721
1751	Yb	104	70	-56944.512	0.011
1752	Lu	103	71	-55570.195	1.567
1753	Hf	102	72	-55844.481	2.259
1754	Ta	101	73	-51740.766	27.945
1755	W	100	74	-50227.088	27.945
1756	Re	99	75	-43673.096	27.945
1757	Os	98	76	-39995.416	10.254
1758	Ir	97	77	-30863.492	24.322
1759	Pt	96	78	-25318.163	10.351
1760	Hg	94	80	-6641.009	19.211
1761	Tm	106	69	-52310.549	50
1762	Yb	105	70	-54695.549	0.071
1763	Lu	104	71	-55165.582	1.207
1764	Hf	103	72	-54481.662	2.282
1765	Ta	102	73	-52408.647	27.945
1766	W	101	74	-49632.795	27.945
1767	Re	100	75	-45288.307	27.945
1768	Os	99	76	-40105.376	11.775
1769	Ir	98	77	-33394.506	12.384
1770	Pt	97	78	-25713.466	18.185
1771	Au	96	79	-17403.955	38.64
1772	Hg	95	80	-7972.576	72.896
1773	Tm	107	69	-49371.314	100
1774	Yb	106	70	-53491.314	0.015
1775	Lu	105	71	-53382.236	1.212
1776	Hf	104	72	-54576.321	1.481
1777	Ta	103	73	-51365.374	30.739
1778	W	102	74	-50641.603	27.945
1779	Re	101	75	-45062.885	27.945
1780	Os	100	76	-42097.94	27.945
1781	Ir	99	77	-33878.326	16.75
1782	Pt	98	78	-28933.867	12.724
1783	Au	97	79	-18520.963	33.185
1784	Hg	96	80	-11784.95	11.119
1785	Tl	95	81	581.594	75.086
1786	Yb	107	70	-50986.397	0.22
1787	Lu	106	71	-52383.806	1.22
1788	Hf	105	72	-52880.616	1.408
1789	Ta	104	73	-51714.616	3.314
1790	W	103	74	-49701.726	27.945
1791	Re	102	75	-46269.17	27.945
1792	Os	101	76	-41956.462	14.613
1793	Ir	100	77	-36047.421	19.76
1794	Pt	99	78	-29370.444	14.988
1795	Au	98	79	-21545.103	10.496
1796	Hg	97	80	-12782.542	75.056
1797	Tl	96	81	-3340.526	21.629
1798	Yb	108	70	-49695.475	10
1799	Lu	107	71	-50337.784	2.251
1800	Hf	106	72	-52435.236	1.412
1801	W	104	74	-50406.936	15.199
1802	Re	103	75	-45653.453	27.945
1803	Os	102	76	-43544.27	13.632
1804	Ir	101	77	-36251.884	19.76
1805	Pt	100	78	-31997.519	10.133
1806	Au	99	79	-22303.743	10.086
1807	Hg	98	80	-16315.901	10.77
1808	Pb	96	82	3574.294	23.963
1809	Lu	108	71	-49058.918	5.15
1810	Hf	107	72	-50462.907	1.413
1811	Ta	106	73	-50357.323	1.463
1812	W	105	74	-49295.127	14.573
1813	Re	104	75	-46584.28	24.639
1814	Os	103	76	-43019.495	16.504
1815	Ir	102	77	-38081.714	9.771
1816	Pt	101	78	-32268.145	7.977
1817	Au	100	79	-24988.567	11.696
1818	Hg	99	80	-16928.134	27.267
1819	Tl	98	81	-8268.495	38.793
1820	Pb	97	82	2050.639	75.59
1821	Lu	109	71	-46676.348	70.725
1822	Hf	108	72	-49779.348	1.419
1823	Ta	107	73	-48932.877	1.939
1824	W	106	74	-49636.115	1.436
1825	Re	105	75	-45837.359	21.392
1826	Os	104	76	-44357.81	16.391
1827	Ir	103	77	-37977.526	21.706
1828	Pt	102	78	-34435.877	10.974
1829	Au	101	79	-25625.509	4.786
1830	Hg	100	80	-20250.447	12.649
1831	Tl	99	81	-9386.647	60.01
1832	Pb	98	82	-1941.38	12.396
1833	Lu	110	71	-44797.41	125.752
1834	Hf	109	72	-47402.831	1.42
1835	Ta	108	73	-48438.311	1.403
1836	W	107	74	-48233.818	1.445
1837	Re	106	75	-46517.391	12.549
1838	Os	105	76	-43549.963	25.338
1839	Ir	104	77	-39463.028	5.245
1840	Pt	103	78	-34381.511	13.689
1841	Au	102	79	-27871.136	19.976
1842	Hg	101	80	-20661.136	15.382
1843	Tl	100	81	-12798.735	9.108
1844	Pb	99	82	-3117.35	75.411
1845	Hf	110	72	-46049.508	6.165
1846	Ta	109	73	-46429.934	1.405
1847	W	108	74	-48246.06	0.738
1848	Re	107	75	-45446.06	101.983
1849	Os	106	76	-44609.104	21.745
1850	Ir	105	77	-39051.679	20.967
1851	Pt	104	78	-36168.449	13.095
1852	Au	103	79	-28300.768	20.26
1853	Hg	102	80	-23576.922	9.79
1854	Tl	101	81	-13327.927	11.839
1855	Pb	100	82	-6825.112	12.098
1856	Lu	112	71	-39716.11	80.108
1857	Hf	111	72	-43282.796	30.034
1858	Ta	110	73	-45292.796	1.419
1859	W	109	74	-46365.58	0.737
1860	Re	108	75	-45809.58	8.034
1861	Os	107	76	-43664.043	49.76
1862	Ir	106	77	-40203.311	24.398
1863	Pt	105	78	-35772.487	15.533
1864	Au	104	79	-30191.483	9.423
1865	Hg	103	80	-23804.674	7.084
1866	Tl	102	81	-16587.257	9.331
1867	Pb	101	82	-7575.218	28.151
1868	Hf	112	72	-41499.373	39.706
1869	Ta	111	73	-42839.373	26.01
1870	W	110	74	-45705.373	0.731
1871	Re	109	75	-44219.634	4.275
1872	Os	108	76	-44252.533	0.827
1873	Ir	107	77	-39610.851	27.945
1874	Pt	106	78	-37334.243	15.584
1875	Au	105	79	-30318.71	22.275
1876	Hg	104	80	-26348.965	10.062
1877	Tl	103	81	-16883.242	10.02
1878	Pb	102	82	-11051.522	12.806
1879	Bi	101	83	1063.068	78.11
1880	Hf	113	72	-38319.8	64.273
1881	Ta	112	73	-41394.293	14.161
1882	W	111	74	-43387.793	0.733
1883	Re	110	75	-43819.027	0.818
1884	Os	109	76	-42805.88	0.83
1885	Ir	108	77	-40335.553	27.945
1886	Pt	107	78	-36688.14	25.832
1887	Au	106	79	-31858.143	2.608
1888	Hg	105	80	-26183.666	13.639
1889	Tl	104	81	-19757.741	20.674
1890	Pb	103	82	-11541.22	16.175
1891	Hf	114	72	-36424.21	51.232
1892	Ta	113	73	-38607.528	60.012
1893	W	112	74	-42508.528	1.212
1894	Re	111	75	-41927.086	0.826
1895	Os	110	76	-42999.943	0.761
1896	Ir	109	77	-39172.346	16.526
1897	Pt	108	78	-37864.443	21.745
1898	Au	107	79	-31714.852	20.967
1899	Hg	106	80	-28539.097	11.65
1900	Tl	105	81	-19886.613	22.356
1901	Pb	104	82	-14682.026	11.363
1902	Bi	103	83	-3146.212	16.857
1903	Po	102	84	4100.974	18.286
1904	Ta	114	73	-36895.546	55.89
1905	W	113	74	-39903.97	1.212
1906	Re	112	75	-41216.478	0.736
1907	Os	111	76	-41218.945	0.736
1908	Ir	110	77	-39549.372	27.945
1909	Pt	109	78	-36685.05	24.048
1910	Au	108	79	-33027.838	22.308
1911	Hg	107	80	-28117.93	13.905
1912	Tl	106	81	-22444.587	8.048
1913	Pb	105	82	-14986.959	5.094
1914	Bi	104	83	-6383.271	10.005
1915	Po	103	84	2828.597	31.898
1916	Ta	115	73	-33612.03	54.958
1917	W	114	74	-38667.811	3.089
1918	Re	113	75	-39016.811	0.738
1919	Os	112	76	-41137.233	0.734
1920	Ir	111	77	-38344.907	9.423
1921	Pt	110	78	-37820.929	5.304
1922	Au	109	79	-32371.308	2.701
1923	Hg	108	80	-30201.914	12.275
1924	Tl	107	81	-22336.4	29.904
1925	Pb	106	82	-17815.202	10.622
1926	Bi	105	83	-7194.687	11.187
1927	Po	104	84	-544.313	19.973
1928	W	115	74	-35617.536	40.054
1929	Re	114	75	-37979.043	8.191
1930	Os	113	76	-38986.745	0.666
1931	Ir	112	77	-38449.586	12.576
1932	Pt	111	78	-36469.348	10.09
1933	Au	110	79	-33581.955	20.081
1934	Hg	109	80	-29626.401	31.553
1935	Tl	108	81	-24616.1	8.368
1936	Pb	107	82	-17844.035	14.062
1937	Bi	106	83	-10064.66	20.851
1938	Po	105	84	-1422.005	22.059
1939	W	116	74	-34382.313	39.726
1940	Re	115	75	-35635.83	70.852
1941	Os	114	76	-38707.771	0.65
1942	Ir	113	77	-36753.544	1.37
1943	Pt	112	78	-37306.45	0.657
1944	Au	111	79	-32833.533	3.447
1945	Hg	110	80	-31370.697	15.907
1946	Tl	109	81	-24372.027	7.948
1947	Pb	108	82	-20416.645	12.514
1948	Bi	107	83	-10599.579	22.562
1949	Po	106	84	-4563.837	13.465
1950	W	117	74	-31176.173	41.917
1951	Re	116	75	-34350.296	10.265
1952	Os	115	76	-36395.185	0.659
1953	Ir	114	77	-36708.756	1.311
1954	Pt	113	78	-35698.237	4.127
1955	Au	112	79	-33797.904	4.926
1956	Hg	111	80	-30591.896	22.28
1957	Tl	110	81	-26282.945	7.349
1958	Pb	109	82	-20231.118	37.26
1959	Bi	108	83	-13239.347	7.487
1960	Po	107	84	-5068.735	7.103
1961	At	106	85	3863.917	16.103
1962	Re	117	75	-31588.825	70.794
1963	Os	116	76	-35882.191	2.315
1964	Ir	115	77	-34835.561	1.314
1965	Pt	114	78	-36288.457	2.57
1966	Au	113	79	-32772.116	15.827
1967	Hg	112	80	-32011.553	15.537
1968	Tl	111	81	-25872.246	31.671
1969	Pb	110	82	-22556.02	13.295
1970	Bi	109	83	-13534.535	30.112
1971	Po	108	84	-8070.661	11.11
1972	At	107	85	2925.854	27.876
1973	Re	118	75	-30231.638	39.123
1974	Os	117	76	-33394.289	2.321
1975	Ir	116	77	-34536.235	1.328
1976	Pt	115	78	-34479.608	1.359
1977	Au	114	79	-33404.821	8.674
1978	Hg	113	80	-31062.179	15.505
1979	Tl	112	81	-27477.212	6.707
1980	Pb	111	82	-22194.49	49.577
1981	Bi	110	83	-15884.559	7.576
1982	Po	109	84	-8325.318	14.531
1983	At	108	85	-67.32	21.632
1984	Rn	107	86	9042.911	25.112
1985	Os	118	76	-32435.108	2.403
1986	Ir	117	77	-32531.708	1.332
1987	Pt	116	78	-34760.07	0.496
1988	Au	115	79	-32211.936	2.118
1989	Hg	114	80	-32183.945	2.888
1990	Tl	113	81	-26937.491	13.972
1991	Pb	112	82	-24207.94	17.435
1992	Bi	111	83	-16028.811	6.178
1993	Po	110	84	-11004.655	12.911
1994	At	109	85	-720.163	24.931
1995	Rn	108	86	5723.495	16.899
1996	Os	119	76	-29511.593	55.89
1997	Ir	118	77	-31692.251	1.333
1998	Pt	117	78	-32793.849	0.503
1999	Au	116	79	-32567.031	1.119
2000	Hg	115	80	-31013.393	23.142
2001	Tl	114	81	-28155.248	11.093
2002	Pb	113	82	-23707.693	17.96
2003	Bi	112	83	-18025.561	5.287
2004	Po	111	84	-11056.259	37.364
2005	At	110	85	-3470.295	9.573
2006	Rn	109	86	5050.281	50.502
2007	Os	120	76	-28277.105	40.055
2008	Ir	119	77	-29435.493	38.414
2009	Pt	118	78	-32644.51	0.51
2010	Au	117	79	-31138.706	2.962
2011	Hg	116	80	-31825.941	2.946
2012	Tl	115	81	-27496.592	12.109
2013	Pb	114	82	-25348.312	7.71
2014	Bi	113	83	-18009.031	24.428
2015	Po	112	84	-13473.042	13.512
2016	At	111	85	-3914.677	30.284
2017	Rn	110	86	1970.991	14.417
2018	Ir	120	77	-28264.105	20.11
2019	Pt	119	78	-30419.75	0.536
2020	Au	118	79	-31139.738	0.542
2021	Hg	117	80	-30540.229	3.207
2022	Tl	116	81	-28341.649	16.325
2023	Pb	115	82	-24745.401	4.804
2024	Bi	114	83	-19687.191	8.333
2025	Po	113	84	-13357.99	49.679
2026	At	112	85	-6355.25	7.983
2027	Rn	111	86	1510.353	16.193
2028	Fr	110	87	10253.971	54.404
2029	Pt	120	78	-29903.999	2.1
2030	Au	119	79	-29580.781	0.54
2031	Hg	118	80	-30954.31	0.458
2032	Tl	117	81	-27528.746	7.545
2033	Pb	116	82	-26067.489	8.75
2034	Bi	115	83	-19369.486	27.945
2035	Po	114	84	-15473.352	17.424
2036	At	113	85	-6714.513	5.868
2037	Rn	112	86	-1230.358	13.42
2038	Fr	111	87	9574.024	32.222
2039	Ir	122	77	-24398.515	41.054
2040	Pt	121	78	-27388.682	2.159
2041	Au	120	79	-29093.741	0.542
2042	Hg	119	80	-29546.068	0.526
2043	Tl	118	81	-28059.394	27.945
2044	Pb	117	82	-25231.804	9.996
2045	Bi	116	83	-20797.566	10.568
2046	Po	115	84	-15208.483	18.06
2047	At	114	85	-8823.372	5.384
2048	Rn	113	86	-1499.451	37.588
2049	Fr	112	87	6771.393	13.726
2050	Pt	122	78	-26599.16	20.11
2051	Au	121	79	-27240.092	26.717
2052	Hg	120	80	-29503.27	0.529
2053	Tl	119	81	-27047.23	5.759
2054	Pb	118	82	-26251.054	10.927
2055	Bi	117	83	-20370.755	22.321
2056	Po	116	84	-16941.761	7.579
2057	At	115	85	-8987.892	24.465
2058	Rn	114	86	-4004.765	13.681
2059	Fr	113	87	6132.498	30.611
2060	Pt	123	78	-23740.714	50.103
2061	Au	122	79	-26400.714	3.218
2062	Hg	121	80	-27662.542	0.711
2063	Tl	120	81	-27180.838	14.185
2064	Pb	119	82	-25271.036	13.747
2065	Bi	118	83	-21416.433	15.183
2066	Po	117	84	-16521.185	4.942
2067	At	116	85	-10789.438	8.184
2068	Rn	115	86	-4072.324	49.732
2069	Fr	114	87	3588.577	9.08
2070	Ra	113	88	11936.801	20.301
2071	Pt	124	78	-22692.125	25.15
2072	Au	123	79	-24352.979	23.287
2073	Hg	122	80	-27345.324	0.705
2074	Tl	121	81	-25980.216	1.606
2075	Pb	120	82	-25940.614	3.796
2076	Bi	119	83	-20741.484	15.396
2077	Po	118	84	-17941.616	8.67
2078	At	117	85	-10590.732	27.977
2079	Rn	116	86	-6274.635	17.52
2080	Fr	115	87	3096.237	7.04
2081	Ra	114	88	9074.861	15.018
2082	Au	124	79	-23143.436	3.083
2083	Hg	123	80	-25269.265	1.627
2084	Tl	122	81	-25761.377	1.166
2085	Pb	121	82	-24786.557	6.554
2086	Bi	120	83	-21524.827	12.778
2087	Po	119	84	-17310.889	8.655
2088	At	118	85	-12162.557	10.576
2089	Rn	117	86	-6153.699	18.179
2090	Fr	116	87	876.417	6.232
2091	Ra	115	88	8661.726	38.124
2092	Hg	124	80	-24690.145	0.498
2093	Tl	123	81	-24346.145	1.152
2094	Pb	122	82	-25109.892	1.146
2095	Bi	121	83	-20645.896	9.18
2096	Po	120	84	-18341.244	11.013
2097	At	119	85	-11875.433	22.288
2098	Rn	118	86	-7970.193	7.444
2099	Fr	117	87	607.31	24.581
2100	Ra	116	88	6056.787	15.273
2101	Hg	125	80	-22287.74	3.654
2102	Tl	124	81	-23820.874	1.237
2103	Pb	123	82	-23770.239	1.144
2104	Bi	122	83	-21064.504	5.111
2105	Po	121	84	-17521.398	10.059
2106	At	120	85	-12971.946	15.085
2107	Rn	119	86	-7709.786	5.08
2108	Fr	118	87	-1309.813	7.824
2109	Ra	117	88	5838.991	70.521
2110	Ac	116	89	14106.693	50.818
2111	Hg	126	80	-20945.801	20.44
2112	Tl	125	81	-22253.367	1.284
2113	Pb	124	82	-23785.584	1.144
2114	Bi	123	83	-20028.278	7.632
2115	Po	122	84	-18188.674	4.012
2116	At	121	85	-12429.718	15.056
2117	Rn	120	86	-9132.965	8.591
2118	Fr	119	87	-1242.416	28.195
2119	Ra	118	88	3565.539	18.008
2120	Ac	117	89	13479.452	50.493
2121	Hg	127	80	-16487.444	29.808
2122	Tl	126	81	-21034.451	5.439
2123	Pb	125	82	-22452.047	1.147
2124	Bi	124	83	-20054.627	2.397
2125	Po	123	84	-17145.775	6.659
2126	At	122	85	-13227.416	12.406
2127	Rn	121	86	-8634.762	8.497
2128	Fr	120	87	-2844.341	17.505
2129	Ra	119	88	3544.485	53.202
2130	Ac	118	89	11146.233	50.387
2131	Hg	128	80	-13265.406	30.739
2132	Tl	127	81	-16750.132	1.854
2133	Pb	126	82	-21748.598	1.148
2134	Bi	125	83	-18870.223	2.304
2135	Po	124	84	-17469.596	1.737
2136	At	123	85	-12469.871	8.921
2137	Rn	122	86	-9655.591	11.138
2138	Fr	121	87	-2665.919	11.834
2139	Ra	120	88	1727.856	9.023
2140	Ac	119	89	10753.235	55.716
2141	Th	118	90	16683.73	34.19
2142	Tl	128	81	-13644.757	6.11
2143	Pb	127	82	-17614.646	1.747
2144	Bi	126	83	-18258.662	1.364
2145	Po	125	84	-16366.092	1.778
2146	At	124	85	-12882.613	5.102
2147	Rn	123	86	-8941.049	9.96
2148	Fr	122	87	-3769.572	14.648
2149	Ra	121	88	1858.219	5.747
2150	Ac	120	89	8843.809	50.608
2151	Tl	129	81	-9246.969	11.604
2152	Pb	128	82	-14728.502	1.447
2153	Bi	127	83	-14791.979	1.363
2154	Po	126	84	-15953.137	1.146
2155	At	125	85	-11972.177	7.695
2156	Rn	124	86	-9604.77	4.557
2157	Fr	123	87	-3333.205	15.154
2158	Ra	122	88	442.792	9.193
2159	Ac	121	89	8789.699	57.402
2160	Th	120	90	14059.446	18.909
2161	Tl	130	81	-6077.998	41.917
2162	Pb	129	82	-10492.948	2.261
2163	Bi	128	83	-11859.131	5.442
2164	Po	127	84	-12432.571	1.255
2165	At	126	85	-11647.264	2.729
2166	Rn	125	86	-8755.404	6.813
2167	Fr	124	87	-4140.249	11.991
2168	Ra	123	88	832.023	7.918
2169	Ac	122	89	7202.214	52.976
2170	Th	121	90	13910.171	73.01
2171	Pb	130	82	-7548.85	1.842
2172	Bi	129	83	-8117.954	1.854
2173	Po	128	84	-10369.487	1.152
2174	At	127	85	-8628.221	2.384
2175	Rn	126	86	-8659.608	3.145
2176	Fr	125	87	-3515.968	8.775
2177	Ra	124	88	-198.968	11.263
2178	Ac	123	89	7277.298	51.381
2179	Th	122	90	12110.808	10.109
2180	Pa	121	91	21593.358	74.862
2181	Tl	132	81	1783.811	27.013
2182	Pb	131	82	-3203.532	6.954
2183	Bi	130	83	-5231.635	5.082
2184	Po	129	84	-6653.584	3.053
2185	At	128	85	-6579.595	4.898
2186	Rn	127	86	-5696.026	3.37
2187	Fr	126	87	-3552.848	5.091
2188	Ra	125	88	345.557	9.818
2189	Ac	124	89	6154.692	15.272
2190	Th	123	90	12120.086	9.217
2191	Pa	122	91	19662.625	71.142
2192	Pb	132	82	-182.769	1.975
2193	Bi	131	83	-1200.753	11.209
2194	Po	130	84	-4470.046	1.449
2195	At	129	85	-3379.831	4.298
2196	Rn	128	86	-4319.742	9.187
2197	Fr	127	87	-958.707	8.634
2198	Ra	126	88	92.734	5.25
2199	Ac	125	89	6443.854	15.36
2200	Th	124	90	10694.885	10.661
2201	Pa	123	91	19485.515	76.125
2202	Pb	133	82	4342.244	52.448
2203	Bi	132	83	1629.322	5.624
2204	Po	131	84	-541.706	2.121
2205	At	130	85	-1255.756	6.799
2206	Rn	129	86	-1168.561	7.672
2207	Fr	128	87	318.065	7.066
2208	Ra	127	88	2533.739	7.613
2209	Ac	126	89	6030.615	12.406
2210	Th	125	90	10921.586	8.84
2211	Pa	124	91	17863.939	72.845
2212	U	123	92	24923.087	88.49
2213	Bi	133	83	5873.991	11.178
2214	Po	132	84	1782.42	1.816
2215	At	131	85	2256.666	3.575
2216	Rn	130	86	252.868	5.994
2217	Fr	129	87	2970.95	4.173
2218	Ra	128	88	3291.077	8.737
2219	Ac	127	89	8144.395	10.84
2220	Th	126	90	10298.332	12.042
2221	Pa	125	91	17799.214	53.526
2222	U	124	92	23066.351	28.093
2223	Bi	134	83	8729.962	17.698
2224	Po	133	84	5883.518	6.544
2225	At	132	85	4394.635	5.001
2226	Rn	131	86	3658.501	4.198
2227	Fr	130	87	4314.59	6.531
2228	Ra	129	88	5889.656	7.202
2229	Ac	128	89	8703.673	11.389
2230	Th	127	90	12205.78	10.614
2231	Pa	126	91	17068.41	15.918
2232	Bi	135	83	13216.037	27.013
2233	Po	134	84	8356.901	1.973
2234	At	133	85	8098.162	11.604
2235	Rn	132	86	5217.347	2.316
2236	Fr	131	87	7059.117	4.757
2237	Ra	130	88	6651.17	11.176
2238	Ac	129	89	10843.609	50.74
2239	Th	128	90	12366.741	10.516
2240	Pa	127	91	18683.77	18.329
2241	U	126	92	21894.608	13.714
2242	Po	135	84	12681.359	15.835
2243	At	134	85	10396.076	3.237
2244	Rn	133	86	8829.402	2.1
2245	Fr	132	87	8617.767	7.039
2246	Ra	131	88	9394.282	8.258
2247	Ac	130	89	11569.48	50.497
2248	Th	129	90	14471.39	50.576
2249	Pa	128	91	18540.131	51.516
2250	U	127	92	23286.569	50.775
2251	Np	126	93	29456.655	88.354
2252	Po	136	84	15263.461	17.698
2253	At	135	85	14375.747	13.972
2254	Rn	134	86	10612.077	1.815
2255	Fr	133	87	11482.32	4.028
2256	Ra	132	88	10270.245	8.237
2257	Ac	131	89	13743.682	6.129
2258	Th	130	90	14669.1	22.166
2259	Po	137	84	19773.755	19.561
2260	At	136	85	16782.727	13.972
2261	Rn	135	86	14471.42	5.714
2262	Fr	134	87	13277.29	4.886
2263	Ra	133	88	12963.811	4.63
2264	Ac	132	89	14523.109	50.425
2265	Th	131	90	16940.371	8.166
2266	Pa	130	91	20376.288	51.281
2267	U	129	92	24519.995	51.114
2268	Po	138	84	22486.265	40.054
2269	At	137	85	20953.026	15.835
2270	Rn	136	86	16372.206	1.95
2271	Fr	135	87	16378.105	7.452
2272	Ra	134	88	14320.188	4.454
2273	Ac	133	89	16621.474	5.174
2274	Th	132	90	17203.111	12.279
2275	U	130	92	24272.827	51.994
2276	At	138	85	23428.006	13.972
2277	Rn	137	86	20389.739	7.822
2278	Fr	136	87	18382.394	1.932
2279	Ra	135	88	17233.309	2.09
2280	Ac	134	89	17825.882	7.11
2281	Th	133	90	19385.831	9.212
2282	Pa	132	91	22320.676	71.063
2283	U	131	92	25837.006	71.119
2284	At	139	85	27711.015	22.356
2285	Rn	138	86	22445.098	9.814
2286	Fr	137	87	21748.616	11.178
2287	Ra	136	88	18825.917	1.813
2288	Ac	135	89	20234.135	4.089
2289	Th	134	90	19993.734	10.12
2290	Pa	133	91	23862.278	7.587
2291	U	132	92	25722.252	23.171
2292	Rn	139	86	26534.141	11.14
2293	Fr	138	87	23820.61	11.967
2294	Ra	137	88	21993.109	2.596
2295	Ac	136	89	21637.346	4.758
2296	Th	135	90	22310.127	5.093
2297	Pa	134	91	24340.725	71.012
2298	U	133	92	27379.921	10.909
2299	Np	132	93	31587.704	71.622
2300	Rn	140	86	28747.192	10.477
2301	Fr	139	87	27520.539	6.23
2302	Ra	138	88	23667.824	1.933
2303	Ac	137	89	24309.264	3.1
2304	Th	136	90	23197.634	4.481
2305	Pa	135	91	26033.276	11.42
2306	U	134	92	27328.869	12.999
2307	Rn	141	86	32885.834	14.091
2308	Fr	140	87	29682.445	5.898
2309	Ra	139	88	27177.711	1.952
2310	Ac	138	89	25849.58	1.927
2311	Th	137	90	25804.823	2.088
2312	Pa	136	91	26831.198	7.42
2313	U	135	92	29045.462	9.705
2314	Np	134	93	32562.08	72.506
2315	Rn	142	86	35243.465	17.677
2316	Fr	141	87	33384.221	6.732
2317	Ra	140	88	28940.268	1.996
2318	Ac	139	89	28894.728	2.094
2319	Th	138	90	26770.984	1.807
2320	Pa	137	91	28923.586	4.34
2321	U	136	92	29222.226	14.354
2322	Np	135	93	33595.694	50.572
2323	Pu	134	94	36087.37	29.143
2324	Rn	143	86	39362.4	13.041
2325	Fr	142	87	35668.262	5.001
2326	Ra	141	88	32561.963	15.441
2327	Ac	140	89	30689.933	12.109
2328	Th	139	90	29585.583	2.405
2329	Pa	138	91	29896.908	3.28
2330	U	137	92	31210.554	5.938
2331	Np	136	93	33779.675	86.848
2332	Pu	135	94	37395.59	51.176
2333	Am	134	95	42150.02	87.348
2334	Fr	143	87	39486.768	6.541
2335	Ra	142	88	34516.306	10.296
2336	Ac	141	89	33838.383	15.835
2337	Th	140	90	30862.593	1.21
2338	Pa	139	91	32173.607	3.038
2339	U	138	92	31615.002	4.509
2340	Np	137	93	35236.291	51.288
2341	Pu	136	94	36934.392	14.824
2342	Fr	144	87	42080.575	7.731
2343	Ra	143	88	38216.486	11.37
2344	Ac	142	89	35762.849	13.041
2345	Th	141	90	33815.891	1.218
2346	Pa	140	91	33424.404	1.772
2347	U	139	92	33806.015	2.67
2348	Np	138	93	35624.513	50.547
2349	Pu	137	94	38309.005	22.549
2350	Fr	145	87	46072.834	13.972
2351	Ra	144	88	40496.953	9.151
2352	Ac	143	89	39154.419	13.041
2353	Th	142	90	35446.784	1.422
2354	Pa	141	91	35946.633	7.645
2355	U	140	92	34609.53	1.809
2356	Pu	138	94	38363.14	17.595
2357	Fr	146	87	48920.051	19.561
2358	Ra	145	88	44334.06	8.603
2359	Ac	144	89	41308.033	13.041
2360	Th	143	90	38731.715	1.425
2361	Pa	142	91	37489.472	1.336
2362	U	141	92	36919.176	2.255
2363	Np	140	93	37948.59	50.981
2364	Pu	139	94	40051.769	50.351
2365	Cm	137	96	47294.006	71.547
2366	Ra	146	88	46930.629	8.383
2367	Ac	145	89	44841.19	13.972
2368	Th	144	90	40613.009	2.589
2369	Pa	143	91	40338.921	4.094
2370	U	142	92	38145.025	1.13
2371	Np	141	93	39954.871	8.397
2372	Pu	140	94	40349.971	6.798
2373	Cm	138	96	46724.633	17.394
2374	Ac	146	89	47357.155	13.972
2375	Th	145	90	44017.749	13.041
2376	Pa	144	91	42288.896	13.972
2377	U	143	92	40918.846	1.117
2378	Np	142	93	41043.108	1.389
2379	Pu	141	94	42182.41	20.521
2380	Am	140	95	44625.429	52.192
2381	Ac	147	89	51220.992	38.191
2382	Th	146	90	46255.198	13.972
2383	Pa	145	91	45333.95	13.972
2384	U	144	92	42444.644	1.113
2385	Np	143	93	43378.178	50.421
2386	Pu	142	94	42901.593	1.811
2387	Cm	140	96	47855.045	18.315
2388	Th	147	90	49955.092	15.835
2389	Pa	146	91	47527.619	13.041
2390	U	145	92	45390.194	1.203
2391	Np	144	93	44871.659	1.12
2392	Pu	143	94	45091.722	1.697
2393	Cm	141	96	49247.085	70.96
2394	Cf	139	98	57938.921	87.287
2395	Pa	147	91	50894.038	15.835
2396	U	146	92	47307.783	1.493
2397	Np	145	93	47454.656	1.138
2398	Pu	144	94	46163.213	1.139
2399	Am	143	95	48421.487	50.7
2400	Cm	142	96	49445.188	12.234
2401	U	147	92	50572.718	1.503
2402	Np	146	93	49311.057	1.311
2403	Pu	145	94	48588.282	1.113
2404	Am	144	95	49390.424	1.982
2405	Cm	143	96	51147.025	54.047
2406	U	148	92	52715.505	2.553
2407	Np	147	93	52316.272	17.032
2408	Pu	146	94	50125.38	1.106
2409	Am	145	95	51510.169	13.832
2410	Cm	144	96	51724.306	1.906
2411	Cf	142	98	57990.944	18.7
2412	Np	148	93	54260.175	70.719
2413	Pu	147	94	52955.175	1.106
2414	Am	146	95	52934.395	1.114
2415	Cm	145	96	53701.83	1.608
2416	Np	149	93	57416.932	200.004
2417	Pu	148	94	54716.932	1.245
